"idstd","id","a4a","a6a","a2","a1c","competition_select","tax_select","vat_applicable","a4b_v4","a0","a3a","a6c","a7","a1a","a14d","a14m","a14y","a14h","a14min","ic1","a20y","a20m","a20d","a1","a12","a7a","a7b","a11","a7c","a9","b1","b1x","b3a","b2a","b2b","b2c","b2d","b4","b4a","b5","b6","b6b","b7","b7a","b8","b8x","c3","c4","c5","c31","c32","c6","c7","c8a","c8b","c9a","c9b","c10","c11","c12","c13","c14","c33","c34","c34b","c34bx","c152","c162","c172","c35a","c35b","c22b","c36","c37","c38","c39","c40a","c40b","c41a","c41b","c42","c30a","d1a1a","d1a6a","d1a6b","d1a6c","d1a6cx","d1a3","d2","d2x","d2a1","d2a1x","n3","n3x","d3a","d3b","d3c","d32","d4a","d4b","d33a","d33b","d34","d35","d36a","d36b","d37","d8","d12a","d12b","d13","d39","d14a","d14b","d40a","d40b","d41","d30a","d30b","o1","o2","o3a","o3b","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","e1","e2b","e31a","e31b","e6","e11","e32","e33","e34","e35","e30","h1","h2","h3x","h4x","h5","h6x","h7x","h8","h9","f1","g2","g3","g4","g31","g32","g33","g5a","g5b","g5bx","g30a","ge3","ge3a","ge7","ge8d","k3a","k3bc","k3e","k3f","k3hd","k4","n5a","n5b","k5a","k5a1","k5i","k5i1","k5bc","k5bc1","k5e","k5e1","k5f","k5f1","k5hdj","k5hdj1","k4b","n5c","n5d","k6","k7","k82","k9","k10","k11","k13","k14a","k14b","k14c","k14d","k14e","k15a","k15b","k15c","k15d","k162","k17","k20a1","k31","k32","k21","k33","k34","k35","k36","k37","k38","k39","k40","k30","j31","j2","j3","j4","j5","j32","j33","j34","j35a","j35b","j36","j37","j38","j39","j40","j6a","j41","j42","j43","j7a","j7b","j10","j11","j12","j13","j14","j15","j30a","j30b","j30c","j30e","j30f","h30","i30","j30_taxrate_pos","j30_taxadmin_pos","j30_permit_pos","j30_instability_pos","j30_corruption_pos","j30_courts_pos","j30_crime_pos","l1","l2","l3a","l3b","l4a1","l4a2","l4b","l5a","l5b","l5","l9b","l9b1","l10","l11a","l11a1","l11b","l11b1","l12a","l12a1","l31","l32","l33","l34","l35","l36","l1a","l6","l6a","l8","l37","l38","l39","l40","l41","l30a","l30b","m1a","m1a_finance_pos","m1a_land_pos","m1a_permit_pos","m1a_corruption_pos","m1a_courts_pos","m1a_crime_pos","m1a_trade_pos","m1a_electricity_pos","m1a_workforce_pos","m1a_labor_pos","m1a_instability_pos","m1a_informal_pos","m1a_taxadmin_pos","m1a_taxrate_pos","m1a_transport_pos","n2a","n2a2","n2b","n2k","n2l","n2e","n2i","n2a1","n2e1","n7a","n11","n12","a15d","a15m","a15y","a15h","a15min","a16","a17","a18","a19h","a19m","a13","a3b","a3c","a3","d1a2_v4","stratificationregioncode","stratificationsizecode","stratificationsectorcode","stratificationpanelcode","wstrict","wmedian","wweak","strata","a6b","d31x","d38x"
"1185117","3","Food","Large","Southeast","Establishment","1","0","Yes","Food","Manufacturing","Southeast","316","No","Vietnamese","28","6","2023","9","15","Yes","2022","12","31","99","MKEInt_TPHCM3","","","","","","Sole proprietorship","","Yes","100","0","0","0","Yes","100","2001","150","2001","20","Yes","Yes","ISO 9001: 2015","No","","","","100","Yes","3","0","40","3","","No","","No","","","","120","Cubic meters","","No","","","","","No","No","","","No","","","","","Unable to change provider","Minor obstacle","Manufacturing of ","","","","","100","194954000000","One hundred ninety-four billion nine hundred fifty-four million.","128133495000","One hundred twenty-eight billion, one hundred thirty-three million, four hundred ninety-five thousand","Don't know (spontaneous)","","70","0","30","Seaport","5","","5","","1","Yes","10","","2","2007","100","0","","","","","","","","Minor obstacle","Minor obstacle","No","","Does not apply (spontaneous)","Does not apply (spontaneous)","No action was taken","Yes","1-2 production performance indicators","Yes","Combination of short term and long term production targets","Possible to achieve with some effort","Only senior managers","Yes","The establishmentâs performance ","Promotions were based partly on performance and ability, and partly on other factors (for example, tenure or family connections)","After 6 months of identifying non-manager under-performance","National â main product sold mostly across the country where establishment is located","Too many to count","Between 50% and 90%","","No","No","Yes, there is more competition","Prices set by HQ","Yes","Positively","Minor obstacle","No","","","","No","","","No","","75","No","","","No","","","","","","No obstacle","No","","Yes","Yes","40","57","0","3","0","No","","","","","","","","","","","","","","","No","","","Yes","No","Yes, a loan only","Private commercial banks","2008","5000000000","Yes","Yes","No","No","No","No","10000000000","Don't know (spontaneous)","","No","Yes, a loan only","","Application was approved in full","Don't know (spontaneous)","3","No","Don't know (spontaneous)","","","","","Don't know (spontaneous)","","","No obstacle","Does not apply (spontaneous)","10","No","","","","","Yes, fully","","48","Yes, fully","Yes, fully","VAT refund not available","","","No","","No","","No payments or gifts are paid","","No","","","No","","","No obstacle","No obstacle","No obstacle","No obstacle","Does not apply","No obstacle","No obstacle","1","2","4","6","7","3","5","316","316","294","22","5","12","277","294","22","","","316","No","","","","","","","15","No hires","Lack of skilled labor","No","","","0","No full-time seasonal or temporary workers","","","Yes","No dispute has been resolved","","No","","No obstacle","No obstacle","Practices of competitors in the informal sector","11","13","12","6","7","3","10","14","5","1","4","8","2","15","9","34526450000","3890000000","2550000000","750000000","20000000","Don't know (spontaneous)","","38416450000","150000000","Don't know (spontaneous)","5","12","28","6","2023","11","45","Somewhat truthful","Are estimates computed with some precision","Several visits","2","10","3","No","Yes","","1075","Southeast","Large (100 or more)","Food","Panel","4.6682929992676","9.7844829559326","9.8590154647827","118","Large","Cambodia",""
"1185118","4","Food","Medium","Mekong River Delta","Establishment","0","1","Yes","Wholesale","Other services","Mekong River Delta","3","No","Vietnamese","6","7","2023","8","9","Yes","2022","12","31","99","MKEInt_LA2","","","","","","Sole proprietorship","","Yes","100","0","0","0","Yes","100","2001","3","2001","12","Yes","No","","No","","","","1300","Yes","1","0","One minute or less","None","","No","","No","","","","120","Cubic meters","","No","","","","","No","No","","","No","","","","","Unable to change provider","No obstacle","Wholesale trade of ","","","","","100","539750000","five hundred and thirty-nine million seven hundred fifty  thousand","","","550000000","Five hundred and fifty million","100","0","0","","","","","","","","","","","","100","0","","","","","","","","No obstacle","No obstacle","No","","Don't know (spontaneous)","Don't know (spontaneous)","","","","","","","","","","","","Don't know (spontaneous)","","","","No","No","No change","No","Don't know (spontaneous)","","No obstacle","No","","","","No","","","No","","","No","","","No","","","","","","No obstacle","No","","No","No","100","0","0","0","0","Yes","242902000","0","100","","0","","0","","0","","0","","0","","","","","Yes","No","No","","","","","","","","","","","","","No","No","Interest rates were not favorable","","","","No","1","Internet and mobile banking, including direct debit transfer","Payment received in less than a day","1","100000","80","Internet and mobile banking, including direct debit transfer","Don't know (spontaneous)","No obstacle","Don't know (spontaneous)","No time was spent","No","","","","","No","Don't know (spontaneous)","","Yes, fully","Yes, fully","No","","Don't know (spontaneous)","No","","No","","No payments or gifts are paid","","No","","","No","","","Minor obstacle","Minor obstacle","No obstacle","Major obstacle","Moderate obstacle","No obstacle","Major obstacle","3","6","7","2","4","1","5","3","4","","","1","2","0","","","0","100","","No","","","","","","","No need to hire any new permanent full-time workers","","","No","","","0","3","0","12","No","","","No","","No obstacle","No obstacle","Crime, theft and disorder","3","11","14","2","15","9","5","8","12","13","6","1","4","7","10","159000000","3000000","42000000","25000000","12000000","","","","","","1","1","19","7","2023","15","58","Somewhat truthful","Are estimates computed with some precision","Several visits","2","50","3","No","No","","4630","Mekong River Delta","Medium (20-99)","Food","Panel","20.173986434937","40.56188583374","44.451541900635","145","Micro","",""
"1185119","11","Food","Medium","Northern Central region, the Central Coast, Central Highlands","Establishment","0","1","Yes","Wholesale","Other services","Northern Central region, the Central Coast, Central Highlands","1","No","Vietnamese","15","6","2023","9","17","Yes","2022","12","31","99","MKEInt46","","","","","","Shareholding company with non-traded shares or shares traded privately","","Yes","100","0","0","0","No","","2000","320","2005","10","No","No","","Yes","One day or less","No","5500000","30","Yes","2","2","0","None","","Yes","10","Yes","3","No","1200000","450","Cubic meters","","Yes","5","3","None","","Yes","Yes","One day or less","850000","Yes","24","","None","","With no difficulty at all","Major obstacle","Wholesale trade of ","","","","","100","25000000000","twenty-five billion","","","15000000000","Fifteen billion.","82","0","18","Airport","1","","2","","12","No","","","","2022","82","18","Yes","Seaport","4","","7","","Don't know (spontaneous)","Moderate obstacle","Moderate obstacle","No","","Strongly agree","Strongly agree","","","","","","","","","","","","International","Too many to count","","","No","Yes","Yes, there is more competition","Yes","No","","Major obstacle","Yes","Yes","Ca Mau crab and eel","completely new","No","","","No","","","Yes","7","No","Yes","7","5000000","","","","No obstacle","Yes","350000000","No","No","20","30","40","9","1","Yes","1100000000","13000000000","30","","10","","10","","45","","1","","4","","","","","Yes","Yes","Yes, both a line of credit and a loan","Private commercial banks","2023","18500000000","Yes","Yes","No","No","Yes","No","21000000000","2","41000000000","No","Yes, both a line of credit and a loan","","Application was approved in part","400000000","15","Yes","65","Internet and mobile banking, including direct debit transfer","1","0","0","0","","","Moderate obstacle","Tend to agree","5","Yes","3","No","Yes","3","Yes, fully","420","","Yes, fully","Yes, fully","Yes","10","","Yes","Not difficult at all","Yes","45","No payments or gifts are paid","","Yes","45","No","Yes","30","No","Moderate obstacle","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","1","5","2","6","7","4","3","32","25","","","10","12","10","","","7","100","","Yes","","","","","100","","10","6","Not enough budget or headquarters did not authorize the hiring","Yes","4","12","15","35","12","3","No","","","No","","No obstacle","No obstacle","Access to finance","5","14","2","12","3","4","10","9","7","11","13","15","8","1","6","2250000000","180000000","420000000","55000000","108000000","","","","","","5","10","15","6","2023","10","37","Truthful","Are estimates computed with some precision","One visit in face-to-face interview with one person","","","1","No","Yes","","4630","Northern Central region, the Central Coast, Central Highlands","Medium (20-99)","Food","Panel","28.150186538696","99.177635192871","111.16957855225","10","Micro","China","China"
"1185120","12","Food","Medium","Northern Central region, the Central Coast, Central Highlands","Establishment","1","0","Yes","Food","Manufacturing","Northern Central region, the Central Coast, Central Highlands","1","No","Vietnamese","29","5","2023","8","37","Yes","2022","12","31","99","MKEInt13","","","","","","Shareholding company with non-traded shares or shares traded privately","","Yes","100","0","0","0","Yes","2","2000","120","2000","35","No","Yes","ISO 1998_2001 and ISO 2018_2022","No","","","","2900","Yes","0","","","None","","Yes","1","No","","","","268","Cubic meters","","No","","","","","Yes","No","","","Yes","2","","None","","With no difficulty at all","No obstacle","Manufacturing of ","","","","","95","112000000000","one hundred and twelve billion","100000000000","one hundred billion","120000000000","One hundred and twenty billion","98","2","0","","","","","","","","","","","2016","100","0","","","","","","","","Minor obstacle","Minor obstacle","No","","Tend to agree","Tend to agree","","","","","","","","","","","","National â main product sold mostly across the country where establishment is located","Too many to count","Below 50%","","No","Yes","Yes, there is more competition","No","No","","Minor obstacle","No","","","","No","","","No","","80","No","","","No","","","","","","No obstacle","No","","Yes","Yes","10","90","0","0","0","No","","","","","","","","","","","","","","","No","","","No","No","Yes, a loan only","Private commercial banks","2022","2500000000","Yes","Yes","Yes","No","Yes","No","3125000000","2","6000000000","Yes","Yes, a loan only","","Application was approved in full","0","10","Yes","95","Internet and mobile banking, including direct debit transfer","Payment received in less than a day","0","0","99","Internet and mobile banking, including direct debit transfer","0","Moderate obstacle","Tend to agree","1","No","","","","","No","","3","Yes, fully","Yes, fully","VAT refund not available","","","No","","No","","Don't know (spontaneous)","","No","","","No","","","Minor obstacle","Minor obstacle","No obstacle","Minor obstacle","No obstacle","No obstacle","No obstacle","6","2","4","5","1","7","3","40","36","30","10","0","2","28","12","6","","100","","No","","","","","","","No need to hire any new permanent full-time workers","","","No","","","0","No full-time seasonal or temporary workers","","","No","","","Yes","Yes","Minor obstacle","No obstacle","Practices of competitors in the informal sector","1","11","13","10","5","9","3","12","7","6","2","15","14","4","8","Don't know (spontaneous)","","50000000","45000000","1600000","Don't know (spontaneous)","","Don't know (spontaneous)","Don't know (spontaneous)","60000000000","20","10","29","5","2023","11","20","Somewhat truthful","Are estimates computed with some precision","One visit in face-to-face interview with one person","","","2","No","No","","1079","Northern Central region, the Central Coast, Central Highlands","Medium (20-99)","Food","Panel","1.6112213134766","5.3906269073486","4.8015327453613","10","Micro","",""
"1185121","16","Food","Large","Mekong River Delta","Establishment","0","1","Yes","Food","Manufacturing","Mekong River Delta","116","No","Vietnamese","11","8","2023","14","48","Yes","2023","3","31","99","MKEInt_CT1","","","","","","Sole proprietorship","","Yes","100","0","0","0","Yes","100","2008","80","2008","15","Yes","No","","No","","","","9580","No","","","","","","Yes","2","No","","","","250","Cubic meters","","No","","","","","Yes","No","","","No","","","","","With no difficulty at all","No obstacle","Manufacturing of ","","","","","100","16897000000","Sixteen billion, eight hundred and ninety-seven million.","10850000000","Ten billion, eight hundred and fifty million.","15525000000","Fifteen billion, five hundred and twenty -five million.","100","0","0","","","","","","","","","","","","100","0","","","","","","","","No obstacle","No obstacle","No","","Strongly agree","Strongly agree","We fixed it but did not take further action","No","","Yes","Combination of short term and long term production targets","Possible to achieve with more than normal effort","Only senior managers","Yes","Their own performance","Promotions were based solely on performance and ability","Within 6 months of identifying non-manager under-performance","National â main product sold mostly across the country where establishment is located","Too many to count","","60","Yes","Don't know (spontaneous)","Yes, there is more competition","No","No","","Major obstacle","No","","","","No","","","No","","60","No","","","No","","","","","","Minor obstacle","No","","No","No","100","0","0","0","0","No","","","","","","","","","","","","","","","No","","","No","No","Yes, a loan only","Private commercial banks","2021","Refusal (spontaneous)","Yes","Yes","Yes","No","No","No","Don't know (spontaneous)","Don't know (spontaneous)","","Yes","No","Interest rates were not favorable","","","","No","80","Internet and mobile banking, including direct debit transfer","Payment received in less than a day","0","0","80","Internet and mobile banking, including direct debit transfer","0","Minor obstacle","Tend to disagree","5","No","","","","","Yes, fully","45","","Yes, fully","Yes, fully","No","","The establishment did not need to apply for a VAT cash refund","No","","No","","No payments or gifts are paid","","No","","","No","","","Minor obstacle","Minor obstacle","No obstacle","Major obstacle","Minor obstacle","No obstacle","No obstacle","6","1","3","7","2","4","5","116","132","95","21","25","50","20","95","21","","85","","Yes","10","","10","","10","","No need to hire any new permanent full-time workers","","","No","","","0","No full-time seasonal or temporary workers","","","No","","","No","","No obstacle","Minor obstacle","Access to finance","13","1","12","15","11","4","10","5","3","8","2","14","6","9","7","6258000000","60852000","287500000","16500000","6000000","14362000000","","5480000000","12358000000","Don't know (spontaneous)","20","10","11","8","2023","16","8","Truthful","Are taken directly from establishment records","One visit in face-to-face interview with one person","","","3","No","Yes","","1020","Mekong River Delta","Large (100 or more)","Food","Panel","10.828201293945","22.733997344971","25.67816734314","159","Large","",""
"1185122","17","Food","Large","Mekong River Delta","Establishment","0","0","Yes","Food","Manufacturing","Mekong River Delta","870","No","Vietnamese","18","7","2023","8","40","Yes","2023","3","31","99","MKEInt_CT1","","","","","","Sole proprietorship","","Yes","0","100","0","0","No","","2008","350","2008","22","No","No","","No","","","","234241","No","","","","","","Yes","5","No","","","","2200","Cubic meters","","No","","","","","Yes","No","","","No","","","","","With no difficulty at all","No obstacle","Manufacturing of ","","","","","100","1144286000000","One trillion, one hundred forty-four billion, two hundred eighty-six million","1055772000000","One trillion, fifty-five billion, seven hundred seventy-two million","1431978000000","One trillion four hundred thirty-one billion nine hundred seventy-eight million.","50","0","50","Seaport","3","","3","","Don't know (spontaneous)","No","","","","2010","95","5","No","","","","","","","No obstacle","No obstacle","No","","Strongly agree","Strongly agree","We fixed it but did not take further action","Yes","1-2 production performance indicators","Yes","Combination of short term and long term production targets","Possible to achieve with more than normal effort","Only senior managers","Yes","Their own performance","Promotions were based solely on performance and ability","Within 6 months of identifying non-manager under-performance","National â main product sold mostly across the country where establishment is located","Too many to count","","60","Yes","No","Yes, there is more competition","No","No","","Minor obstacle","No","","","","No","","","No","","75","No","","","No","","","","","","Minor obstacle","No","","Yes","Yes","100","0","0","0","0","Yes","12063000000","0","100","","0","","0","","0","","0","","0","","No","","","No","No","No","","","","","","","","","","","","","No","No","Interest rates were not favorable","","","","Yes","80","Internet and mobile banking, including direct debit transfer","Payment received in less than a day","0","0","80","Internet and mobile banking, including direct debit transfer","0","Minor obstacle","Strongly agree","2","Yes","3","No","Yes","One week or less","Yes, fully","","4","Yes, fully","Yes, fully","Yes","3","","No","","No","","No payments or gifts are paid","","No","","","No","","","Minor obstacle","Minor obstacle","Minor obstacle","Major obstacle","Major obstacle","No obstacle","Minor obstacle","3","5","4","2","7","6","1","870","889","800","70","100","500","200","800","70","","90","","Yes","10","","10","","80","","No need to hire any new permanent full-time workers","","","Yes","One week or less","No severance was paid","0","No full-time seasonal or temporary workers","","","No","","","No","","No obstacle","Minor obstacle","Access to land","10","4","11","2","12","6","15","13","9","14","1","7","5","8","3","73080000000","1042000000","9838150000","145000000","43200000","1040176000000","","53460000000","805377000000","147107554000","20","10","9","8","2023","16","40","Truthful","Are taken directly from establishment records","Several visits","2","10","3","No","Yes","","1020","Mekong River Delta","Large (100 or more)","Food","Panel","10.828201293945","22.733997344971","25.67816734314","159","Large","China",""
"1185123","18","Food","Large","Northern Central region, the Central Coast, Central Highlands","Establishment","0","1","Yes","Food","Manufacturing","Northern Central region, the Central Coast, Central Highlands","80","No","Vietnamese","22","5","2023","8","44","Yes","2022","12","31","99","MKEInt13","","","","","","Shareholding company with non-traded shares or shares traded privately","","Yes","100","0","0","0","Yes","20","1998","98","1998","40","No","No","","No","","","","30000","Yes","0","","","5","","No","","No","","","","300","Cubic meters","","No","","","","","No","No","","","Yes","Less than 1 hour","40","1","","With no difficulty at all","Minor obstacle","Manufacturing of ","","","","","100","90000000000","ninety billion","85000000000","eighty -five billion","82000000000","eighty -two billion","100","0","0","","","","","","","","","","","","85","15","No","","","","","","","Minor obstacle","No obstacle","No","","Don't know (spontaneous)","Don't know (spontaneous)","Does not apply (spontaneous)","No","","Yes","Combination of short term and long term production targets","Possible to achieve with more than normal effort","All managers and most production workers","Yes","The firmâs performance","Does not apply (spontaneous)","Does not apply (spontaneous)","Local â main product sold mostly in same municipality where establishment is located","60","","65","No","Yes","Yes, there is more competition","No","No","","Moderate obstacle","Yes","No","began producing traditional fish sauce with higher protein content, eye-catching color and more fragrant scent.","Previously, we only produced fish sauce with a protein content of 25, now we have produced fish sauce with a protein content of 32, a more beautiful brown color, a better aroma.","Yes","Start producing plastic bottles and plastic cans to measure/store fish sauce.","Completely new, we had to buy bottles and cans to use before, but we didn't have machines to produce our own","No","","90","No","","","No","","","","","","No obstacle","Yes","100000000","Yes","Yes","80","20","0","0","0","Yes","20000000000","0","100","","0","","0","","0","","0","","0","","Yes","10000000000","0","Yes","No","Yes, a line of credit only","Private commercial banks","2022","35000000000","Yes","Yes","Yes","No","No","Yes","35000000000","1","30000000000","No","Yes, a line of credit only","","Application was approved in full","","","No","40","Internet and mobile banking, including direct debit transfer","Payment received in less than a day","0","0","80","Internet and mobile banking, including direct debit transfer","0","No obstacle","Don't know (spontaneous)","5","Yes","4","No","No","","No","16","","Yes, fully","Yes, fully","Not VAT eligible","","","No","","No","","1","","No","","","No","","","No obstacle","No obstacle","No obstacle","No obstacle","Moderate obstacle","No obstacle","No obstacle","7","3","6","2","1","5","4","80","100","60","20","6","50","4","25","8","","100","","No","","","","","","","No need to hire any new permanent full-time workers","","","No","","","0","No full-time seasonal or temporary workers","","","No","","","Yes","Yes","Minor obstacle","No obstacle","Corruption","13","15","10","12","8","5","4","14","1","11","7","2","3","6","9","6700000000","1981500000","720000000","24000000","5700000","68000000000","","6500000000","72000000000","3000000000","22","10","22","5","2023","9","53","Truthful","Are in some case taken from books and in some case estimates","One visit in face-to-face interview with different managers/staff","1","25","2","No","No","","1079","Northern Central region, the Central Coast, Central Highlands","Large (100 or more)","Food","Panel","2.6320958137512","9.6481494903564","11.165519714355","21","Medium","",""
"1185124","20","Food","Large","Southeast","Establishment","0","1","Yes","Food","Manufacturing","Southeast","45","No","Vietnamese","28","6","2023","13","53","Yes","2022","12","31","99","MKEInt_TPHCM5","","","","","","Shareholding company with shares traded on the stock market","","Yes","73","0","27","0","Yes","10","2001","110","2001","22","No","No","","No","","","","15000","Yes","1","0","2","None","","Yes","1","No","","","","70","Cubic meters","","No","","","","","Yes","No","","","Yes","Less than 1 hour","5","None","","There is only one available internet provider","No obstacle","Manufacturing of ","","","","","100","29963327000","twenty-nine billion nine hundred sixty-three million three hundred twenty-seven thousand","87877763000","eighty -seven billion eight hundred seventy -seven million seven hundred and sixty three thousand","339639084000","Three hundred thirty-nine billion six hundred thirty-nine million eighty-four thousand.","0","0","100","Seaport","15","","Don't know (spontaneous)","","Don't know (spontaneous)","No","","","","2001","90","10","Yes","Seaport","5","","8","","Don't know (spontaneous)","No obstacle","No obstacle","Yes","Yes","Tend to agree","Tend to agree","We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance","Yes","3-9 production performance indicators","Yes","Combination of short term and long term production targets","Only possible to achieve with extraordinary effort","Only senior managers","Yes","Their team's or shift performance","Does not apply (spontaneous)","Within 6 months of identifying non-manager under-performance","International","Too many to count","","","No","No","Yes, there is more competition","No","Yes","Positively","Moderate obstacle","No","","","","No","","","No","","60","No","","","No","","","","","","No obstacle","No","","Yes","No","10","80","0","10","0","No","","","","","","","","","","","","","","","No","","","Yes","Yes","Yes, both a line of credit and a loan","Private commercial banks","2021","500000000000","Yes","Yes","Yes","Yes","Yes","No","700000000000","4","491113777000","No","Yes, both a line of credit and a loan","","Application was approved in part","Don't know (spontaneous)","35","Yes","100","Internet and mobile banking, including direct debit transfer","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","90","Internet and mobile banking, including direct debit transfer","0","Moderate obstacle","Don't know (spontaneous)","No time was spent","No","","","","","Yes, fully","188","","Yes, fully","Yes, fully","No","","The establishment did not need to apply for a VAT cash refund","No","","No","","No payments or gifts are paid","","No","","","No","","","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","6","5","4","2","3","7","1","450","485","380","70","20","15","345","285","15","","5","","No","","","","","","","50","50","","No","","","120","No full-time seasonal or temporary workers","","","No","","","Yes","No","No obstacle","No obstacle","Tax rates","11","5","1","2","3","14","13","9","12","4","8","15","10","7","6","5249200000","58864000","450000000","15000000","5000000","20232439000","","9435161000","167532246000","139465932000","0","0","28","6","2023","14","45","Truthful","Are taken directly from establishment records","One visit in face-to-face interview with one person","","","3","No","Yes","","1020","Southeast","Large (100 or more)","Food","Panel","4.6682929992676","9.7844848632812","9.8590154647827","118","Medium","United States of America","China"
"1185125","21","Food","Medium","Northern Central region, the Central Coast, Central Highlands","Establishment","0","0","Yes","Retail","Retail services","Northern Central region, the Central Coast, Central Highlands","6","No","Vietnamese","26","5","2023","9","39","Yes","2022","12","31","99","MKEInt13","","","","","","Sole proprietorship","","Yes","100","0","0","0","No","","2013","13","2013","19","No","No","","No","","","","1000","Yes","0","","","None","","No","","No","","","","5","Cubic meters","","No","","","","","Yes","No","","","Yes","2","","","5000000","With no difficulty at all","No obstacle","Retail trade of ","","","","","70","40000000000","forty billion","","","50000000000","fifty billion","100","0","0","","","","","","","","","","","","90","10","No","","","","","","","Moderate obstacle","Minor obstacle","No","","Tend to agree","Tend to agree","","","","","","","","","","","","Local â main product sold mostly in same municipality where establishment is located","30","","60","Yes","Yes","Yes, there is more competition","No","No","","Very severe obstacle","Yes","Yes","We started retailing copyrighted aluminum products from Europe, which are more durable and more beautiful","We used to sell aluminum, but it was a Chinese copyrighted aluminum product with lower durability","No","","","No","","","No","","","No","","","200","Square Meters","","Major obstacle","No","","No","No","30","45","0","20","5","Yes","0","2000000000","100","","0","","0","","0","","0","","0","","","","","No","No","Yes, a loan only","Private commercial banks","2022","8500000000","Yes","Yes","No","No","Yes","No","12000000000","1","8500000000","Yes","Yes, a loan only","","Application was approved in full","0","7","Yes","70","Internet and mobile banking, including direct debit transfer","Payment received in less than a day","0","0","30","Internet and mobile banking, including direct debit transfer","0","Moderate obstacle","Tend to agree","1","Yes","2","No","Yes","2","Yes, fully","","24","Yes, fully","Yes, fully","VAT refund not available","","","No","","No","","No payments or gifts are paid","","No","","","No","","","Minor obstacle","Minor obstacle","Major obstacle","No obstacle","No obstacle","No obstacle","No obstacle","1","4","3","6","5","2","7","8","8","","","3","2","3","","","2","","7","No","","","","","","","2","2","","No","","","0","3","0","One month or less","No","","","Yes","Yes","Minor obstacle","No obstacle","Business licensing and permits","2","11","3","15","13","9","7","4","14","12","1","6","5","8","10","940000000","240000000","24000000","0","6900000","","35000000000","","","","2","10","26","5","2023","10","40","Truthful","Are estimates computed with some precision","One visit in face-to-face interview with one person","","","2","No","No","","4752","Northern Central region, the Central Coast, Central Highlands","Medium (20-99)","Food","Panel","1.9555585384369","7.1108245849609","6.2874464988708","10","Small","",""
"1185126","23","Food","Medium","Red River Delta","Establishment","1","1","Yes","Food","Manufacturing","Red River Delta","1","No","Vietnamese","8","5","2023","9","10","Yes","2022","12","31","99","MKEInt14","","","","","","Sole proprietorship","","Yes","100","0","0","0","No","","2003","15","2003","40","No","Yes","ISO 222018","No","","","","Don't know (spontaneous)","No","","","","","","No","","No","","","","Don't know (spontaneous)","","","No","","","","","Yes","No","","","Yes","2","","None","","Unable to change provider","Minor obstacle","Manufacturing of ","","","","","40","6000000000","six billions","3000000000","three billion","2000000000","two billions","100","0","0","","","","","","","","","","","","100","0","","","","","","","","Major obstacle","No obstacle","No","","Strongly agree","Strongly agree","","","","","","","","","","","","National â main product sold mostly across the country where establishment is located","10","Below 50%","","No","Don't know (spontaneous)","Yes, there is more competition","Yes","Yes","Positively","No obstacle","No","","","","Yes","Upgrade use machinery to faster the process","Upgrade use machinery to faster","Yes","200000000","60","Yes","Still in process","Yes","No","","","","","","No obstacle","No","","No","Yes","60","0","0","10","30","Yes","500000000","0","90","","0","","0","","0","","0","","10","","Yes","100000000","0","No","No","No","","","","","","","","","","","","","Yes","Yes, a loan only","","Application was rejected","Don't know (spontaneous)","Don't know (spontaneous)","No","80","Internet and mobile banking, including direct debit transfer","Don't know (spontaneous)","1","1000","Don't know (spontaneous)","","","Very severe obstacle","Strongly agree","5","No","","","","","Yes, fully","16","","Yes, fully","Yes, fully","Yes","Don't know (spontaneous)","","Yes","Very much difficult","Yes","10","5","","No","","","No","","","Does not apply","Major obstacle","Moderate obstacle","Moderate obstacle","Major obstacle","No obstacle","Moderate obstacle","4","2","7","5","3","6","1","25","20","20","5","10","10","0","15","3","","100","","Yes","100","","100","","100","","20","10","Lack of skilled labor","No","","","10","10","1","3","No","","","No","","No obstacle","No obstacle","Access to finance","4","14","7","15","12","11","10","1","8","9","13","3","6","2","5","1500000000","120000000","72000000","4000000","8292000","3000000000","","1100000000","2000000000","15000000000","20","5","8","5","2023","10","7","Truthful","Are estimates computed with some precision","One visit in face-to-face interview with one person","","","2","Yes","Yes","","1079","Red River Delta","Medium (20-99)","Food","Panel","7.062970161438","24.437498092651","27.693593978882","44","Micro","",""
