"idstd","id","preference","rotation","a0","a1","a1a","a2","a3a","a3a2","a3b","a3c","a3","a4a","a4b","a5","a6a","a6b","a7","a7a","a8a","a9","a10","a11","a11a","a12","a13","a14d","a14m","a14y","a14h","a14min","eaa3a3w","eaa3a3x","eaa3a3y","eaa3a3z","b1","b1x","b3","b2a","b2b","b2c","b2d","b4","b4a","b5","b6","b6a","b6b","b7","b7a","b8","b8x","c3","c4","c5","c6","c7","c8a","c8b","c9a","c9b","c10","c11","c12","c13","c14","c15","c16","c17","c22a","c22b","c30a","c30b","d1a1x","d1a2","d1a3","d2","d2x","n3","n3x","d3a","d3b","d3c","d4","ead4a","d6","d7","d8","d10","d11","d12a","d12b","d13","d14","d16","d17","d30a","d30b","e1","e2b","e6","e11","e30","h1","h2","eah2x","eah2a","eah4a","eah4b","eah4c","eah10","eah11a","eah11b","h3","h4a","h4b","eah12a","eah12b","eah13","h5","eah14a","eah14b","eah14c","h6","h7","h8","eah15","eah16","f1","f2","g6a","g6b","g6c","g1a","g1b","g1c","g2","g3","g4","g5a","g5b","g5bx","g30a","i1","i2a","i2b","i3","i4a","i4b","i30","k1c","k2c","k3a","k3bc","k3e","k3f","k3hd","k4","n5a","n5b","k5a","k5i","k5bc","k5e","k5f","k5hdj","k5a1","k5i1","k5bc1","k5e1","k5f1","k5hdj1","k6","k7","k8","k9","k10","k11","k13","k14a","k14b","k14c","k14d","k14e","k15a","k15b","k15c","k15d","k16","k17","k20a1","k21","k30","h7a","j2","j3","j4","j5","j6a","j6","j7a","j7b","j10","j11","j12","j13","j14","j15","j30a","j30b","j30c","j30e","j30f","h30","l1","l2","l3a","l3b","l4a","l4b","eal4c","eal4d","eal5a","eal5b","eal5c","eal5d","eal5s","l5a","l5b","l5","eal5a1","eal5a2","eal5b1","eal5b2","l6","l6a","l8","l9a","l9a2","l9b","l10","eal10a","eal10b","eal11a","eal11b","eal11c","eal11d","eal12","eal13","eal14","eal15a","eal16a","eal17a","myal17","myal18a","myal18b","myal18c","myal18d","myal18e","myal18x","myal24","myal25a","myal25b","myal25c","myal25d","myal25e","myal25x","eal15b","eal16b","eal17b","myal32a","myal32b","myal32c","myal32d","myal32e","myal32x","eal15c","eal16c","eal17c","myal39a","myal39b","myal39c","myal39d","myal39e","myal39x","eal15d","eal16d","eal17d","myal46a","myal46b","myal46c","myal46d","myal46e","myal46x","eal18a","eal18b","eal18c","eal18d","eal18e","eal18f","eal18g","eal19","eal20","myal52a1","myal52a2","myal52b","myal52c","myal52d","l30a","l30b","m1a","n2a","n2e","n2f","n2b","n2i","n2p","n6a","n6b","n7a","n7b","a15a1ax","a15a2a","a15a3","a15a1bx","a15a2b","a15b3","a15a1cx","a15a2c","a15c3","a15d","a15m","a15y","a15h","a15min","a16","a17","a18","a19h","a19m","eava0","stratificationregioncode","stratificationsizecode","stratificationsectorcode","panelcode","wstrict","wmedian","wweak","strata","l11a","l11b"
"598835","7","28","","Manufacturing","99","Vietnamese","South East","South East","Vietnamese dong","No","Yes","City with population over 1 million","15","15","Yes, screener and sample frame info match","Small","Large","No","1","","","","","","309","501","22","5","2015","10","51","","","2014","2012","Sole proprietorship","","100","100","0","0","0","No","","2009","4","No","2011","15","No","No","","No","","","Yes","0","","","2","","No","","No","","","No","","","Yes","No","Moderate obstacle","Minor obstacle","manufacture of prepared animal feeds","1533","70","9000000000","nine billion","3000000000","three billion","90","10","0","","","","","2012","0","0","90","10","No","","15","","Minor obstacle","No obstacle","National â main product sold mostly across the country where establishment is located","5","No","Yes","Minor obstacle","Yes","Yes","t-shirt new model","60","No","No","Yes","Entirely by this establishment","No","No","Yes","Yes","No","Yes","No","Entirely by this establishment","No","","","","No","No","","No","No","100","48","100","0","0","100","0","0","No","","","","","","No obstacle","Yes","","30000000","No","","","No obstacle","90","90","60","30","0","0","10","Yes","200000000","Don't know (spontaneous)","60","0","30","0","0","10","","","","","","","No","No","Yes","Private commercial banks","2012","6000000000","Yes","Yes","Yes","No","Yes","No","8000000000","3","6000000000","Yes","No","Did not think it would be approved","","No","No obstacle","Strongly agree","0","No","","","No","","Don't know (spontaneous)","","No","","","No","","","Minor obstacle","No obstacle","No obstacle","No obstacle","Minor obstacle","Minor obstacle","110","20","100","10","90","10","10","0","75","7","7","0","","82","7","","","","","","70","60","2","8","8","40","No","No need for formal training programs","","","","","","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","0","30","0","3","Minor obstacle","Moderate obstacle","Access to finance ","5500000000","2000000000","200000000","250000000","","7950000000","3200000000","8000000000","3500000000","10000000000","accountant","6","Male","","","","","","","22","5","2015","12","29","Truthful","Are in some case taken from books in some case estimates","One visit in face-to-face interview with one person","","","","South East","Small (5-19)","Food","Fresh","35.035682678223","44.256694793701","76.532020568848","82","",""
"598836","14","10","","Manufacturing","99","Vietnamese","South East","South East","Vietnamese dong","No","No","City with population over 1 million","15","15","Yes, screener and sample frame info match","Small","Medium","No","1","","","","","","308","804","6","4","2015","9","16","","","2014","2012","Sole proprietorship","","100","100","0","0","0","No","","1980","15","No","2000","23","No","No","","No","","","No","","","","","","Yes","1","Don't know (spontaneous)","","","No","","","No","No","No obstacle","No obstacle","production of salts","1549","100","4200000000","four billion two hundred million","Don't know (spontaneous)","","100","0","0","","","","","","0","0","100","0","","","6","","No obstacle","Don't know (spontaneous)","National â main product sold mostly across the country where establishment is located","2","No","Yes","Minor obstacle","No","","","","","","","","No","No","No","No","No","","","","No","","","","No","No","","Yes","No","80","56","0","100","0","0","100","0","No","","","","","","No obstacle","Yes","","600000000","No","","","No obstacle","0","100","100","0","0","0","0","No","","","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","","","","","","","No","No","No","","","","","","","","","","","","","No","No","No need for a loan - establishment had sufficient capital","","Yes","No obstacle","Strongly agree","0","Yes","1","No","No","","","1000000","No","","","No","","","Minor obstacle","Minor obstacle","Don't know (spontaneous)","No obstacle","Don't know (spontaneous)","Minor obstacle","70","70","67","3","55","12","3","0","30","0","2","0","","30","Don't know (spontaneous)","","","","","","0","","","6","6","20","No","No need for formal training programs","","","","","","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","0","5","2","Minor obstacle","Minor obstacle","Electricity","650000000","3600000000","300000000","60000000","","5071000000","Don't know (spontaneous)","Don't know (spontaneous)","400000000","Don't know (spontaneous)","director","23","Male","","","","","","","5","6","2015","10","51","Truthful","Are estimates computed with some precision","One visit in face-to-face interview with one person","","","","South East","Small (5-19)","Food","Fresh","35.035682678223","44.256694793701","76.532020568848","82","",""
"598837","17","35","","Manufacturing","99","Vietnamese","South East","North Central area and Central coastal area","Vietnamese dong","No","No","City with population over 1 million","15","15","Yes, screener and sample frame info match","Small","Large","No","1","","","","","","211","803","10","4","2015","15","6","","","2014","2012","Shareholding company with shares trade in the stock market","","51","100","0","0","0","Yes","2","1990","60","Yes","1990","25","No","Yes","isso9001,2008, haccp","No","","","No","","","","","","Yes","1","Yes","1","No","No","","","Yes","Yes","Very severe obstacle","No obstacle","manufacture of water","1554","100","140000000000","one hundred forty billion","100000000000","one hundred billion","100","0","0","","","","","","0","0","100","0","","","0","","No obstacle","No obstacle","National â main product sold mostly across the country where establishment is located","0","No","No","No obstacle","Yes","No","","30","No","No","Yes","Entirely by this establishment","No","No","No","No","No","","","","No","","","","No","No","","No","No","80","48","100","0","0","0","100","0","No","","","","","","No obstacle","Yes","","500000000","No","","","No obstacle","50","30","100","0","0","0","0","Yes","6000000000","0","100","0","0","0","0","0","","","","","","","Yes","No","No","","","","","","","","","","","","","No","No","No need for a loan - establishment had sufficient capital","","Yes","No obstacle","Tend to agree","0","Yes","Don't know (spontaneous)","No","No","","Refusal (spontaneous)","","No","","","Yes","-6","No","No obstacle","No obstacle","No obstacle","No obstacle","Moderate obstacle","No obstacle","320","300","150","170","15","135","50","120","2","13","10","40","","85","10","","","","","","4","2","3","100","12","100","Yes","","Technical skills (other than IT), vocational, or job-specific skills","100","100","100","100","No","No","Don't know (spontaneous)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","No obstacle","Minor obstacle","Transport","25000000000","75000000000","Don't know (spontaneous)","3500000000","","20000000000","15000000000","1500000000","20000000000","2000000000","vice director","25","Male","","","","","","","10","4","2015","17","2","Truthful","Are taken directly from establishment records","One visit in face-to-face interview with different managers/staff","2","20","Refusal to the paper follow-up","South East","Small (5-19)","Food","Fresh","35.035682678223","44.256694793701","76.532020568848","82","100","100"
"598838","45","40","","Manufacturing","99","Vietnamese","South East","South East","Vietnamese dong","No","No","City with population over 1 million","15","15","Yes, screener and sample frame info match","Small","Small","No","1","","","","","","306","302","15","7","2015","14","13","","","2014","2012","Limited partnership","","80","100","0","0","0","Yes","20","2011","5","Yes","2011","5","No","No","","Yes","7","No","No","","","","","","No","","No","","","Yes","0","","No","No","No obstacle","Moderate obstacle","bottled water production","1554","100","150000000","one hundred fifty five million","120000000","one hundred twenty million","100","0","0","","","","","","0","0","100","0","","","0","","Minor obstacle","No obstacle","Local â main product sold mostly in same municipality where establishment is located","10","No","Yes","Moderate obstacle","No","","","","","","","","No","No","Yes","No","No","Yes","No","Entirely by this establishment","No","","","","No","No","","No","No","50","60","100","0","0","100","0","0","No","","","","","","Minor obstacle","Yes","Don't know (spontaneous)","","No","","","Minor obstacle","0","5","80","10","5","5","0","Yes","50000000","Don't know (spontaneous)","100","0","0","0","0","0","","","","","","","No","No","No","","","","","","","","","","","","","No","No","No need for a loan - establishment had sufficient capital","","No","Minor obstacle","Tend to agree","0","No","","","No","","Don't know (spontaneous)","","No","","","No","","","Moderate obstacle","Moderate obstacle","Minor obstacle","No obstacle","Minor obstacle","No obstacle","12","7","10","2","10","0","2","0","0","0","1","0","","0","1","","","","","","0","","","12","Does not apply","80","No","No need for formal training programs","","","","","","Yes","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","10","0","2","Minor obstacle","No obstacle","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","3000000000","director","5","Male","","","","","","","15","7","2015","16","46","Truthful","Are estimates computed with some precision","One visit in face-to-face interview with one person","","","","South East","Small (5-19)","Food","Fresh","35.035682678223","44.256694793701","76.532020568848","82","",""
"598839","48","6","","Manufacturing","99","Vietnamese","South East","South East","Vietnamese dong","No","Yes","City with population over 1 million","17","17","Yes, screener and sample frame info match","Small","Small","No","1","","","","","","309","804","22","5","2015","9","32","","","2014","2012","Sole proprietorship","","100","100","0","0","0","Yes","100","2001","10","No","2003","20","Yes","No","","No","","","No","","","","","","No","","Don't know (spontaneous)","","","No","","","Yes","No","Minor obstacle","No obstacle","manufacture of cotton cloth","1711","100","50000000000","fifty billion","50000000000","fifty billion","100","0","0","","","","","","0","0","100","0","","","30","","Minor obstacle","No obstacle","National â main product sold mostly across the country where establishment is located","-4","No","Don't know (spontaneous)","Minor obstacle","Yes","No","producing cotton cloth with new colour","2","No","No","Yes","Entirely by this establishment","No","No","Yes","No","No","Yes","No","Entirely by this establishment","No","","","","No","No","","No","No","100","72","100","0","0","100","0","0","No","","","","","","No obstacle","Yes","1","","No","","","No obstacle","100","100","100","0","0","0","0","No","","","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","","","","","","","No","No","No","","","","","","","","","","","","","No","No","No need for a loan - establishment had sufficient capital","","No","No obstacle","Don't know (spontaneous)","0","Yes","3","No","No","","Refusal (spontaneous)","","No","","","No","","","No obstacle","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","15","13","12","3","12","0","3","0","3","0","0","0","","3","0","","","","","","5","2","3","9","9","Don't know (spontaneous)","No","No need for formal training programs","","","","","","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","2","1","Minor obstacle","No obstacle","Practices of competitors in the informal sector","Don't know (spontaneous)","Don't know (spontaneous)","500000000","200000000","","Don't know (spontaneous)","Don't know (spontaneous)","10000000000","Don't know (spontaneous)","12000000000","director","4","Male","","","","","","","23","5","2015","10","15","Truthful","Are estimates computed with some precision","One visit in face-to-face interview with one person","","","","South East","Small (5-19)","Other Manufacturing","Fresh","66.761489868164","86.692291259766","171.06489562988","89","",""
"598840","50","24","","Manufacturing","99","Vietnamese","South East","South East","Vietnamese dong","No","Yes","City with population over 1 million","17","17","Yes, screener and sample frame info match","Small","Small","No","1","","","","","","309","804","23","4","2015","10","11","","","2014","2012","Sole proprietorship","","100","100","0","0","0","No","","2005","20","Yes","2005","30","No","No","","No","","","No","","","","","","No","","Don't know (spontaneous)","","","No","","","Yes","No","No obstacle","No obstacle","manufacture of texttile fibre","1711","100","14150000000","fourteen billion one hundred fourty eight million","14470000000","fourteen billion four hundred sixty eight million","100","0","0","","","","","","0","10","100","0","","","5","","Minor obstacle","No obstacle","Local â main product sold mostly in same municipality where establishment is located","-4","No","No","Minor obstacle","No","","","","","","","","No","No","No","No","No","","","","No","","","","No","No","","No","No","30","48","100","0","0","100","0","0","No","","","","","","Minor obstacle","Yes","3","","No","","","Minor obstacle","0","100","100","0","0","0","0","No","","","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","","","","","","","No","No","Yes","State-owned banks or government agency","2014","900000000","Yes","Yes","Yes","No","No","No","1500000000","1","","No","No","No need for a loan - establishment had sufficient capital","","Yes","Minor obstacle","Tend to agree","0","No","","","No","","Refusal (spontaneous)","","No","","","No","","","Minor obstacle","No obstacle","No obstacle","Major obstacle","Minor obstacle","Don't know (spontaneous)","8","15","6","2","3","3","2","0","1","2","2","0","","3","0","","","","","","0","","","6","6","50","No","No need for formal training programs","","","","","","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Minor obstacle","Minor obstacle","Political instability","600000000","12000000000","700000000","80000000","","15000000000","1300000000","15000000000","2000000000","15000000000","manager","6","Female","","","","","","","24","4","2015","11","0","Truthful","Are in some case taken from books in some case estimates","One visit in face-to-face interview with one person","","","Refusal to the paper follow-up","South East","Small (5-19)","Other Manufacturing","Fresh","66.761489868164","86.692291259766","171.06489562988","89","",""
"598841","51","46","","Manufacturing","99","Vietnamese","South East","South East","Vietnamese dong","No","Yes","City with population over 1 million","18","18","Yes, screener and sample frame info match","Small","Medium","No","1","","","","","","318","318","5","12","2015","15","34","","","2014","2012","Sole proprietorship","","100","100","0","0","0","No","","1997","20","No","2007","20","No","No","","No","","","Yes","Don't know (spontaneous)","","","0","","No","","No","","","Does not apply","","","Yes","No","No obstacle","Minor obstacle","sew t-shirt","1810","100","9700000000","nine billion seven hundred million","Don't know (spontaneous)","","0","100","0","","","","","2010","Does not apply","","100","0","","","30","","No obstacle","No obstacle","International ","","No","Don't know (spontaneous)","Don't know (spontaneous)","No","","","","","","","","No","No","No","No","No","","","","No","","","","No","No","","No","No","90","72","100","0","0","100","0","0","No","","","","","","No obstacle","No","","","No","","","No obstacle","50","50","100","0","0","0","0","No","","","","","","","","","","","","","","","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","","","","","","","","","","","","","Don't know (spontaneous)","No","No need for a loan - establishment had sufficient capital","","Yes","No obstacle","Don't know (spontaneous)","0","No","","","No","","","Refusal (spontaneous)","No","","","No","","","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","Don't know (spontaneous)","33","30","30","3","30","0","3","0","20","0","2","0","","20","2","","","","","","0","","","9","9","Don't know (spontaneous)","No","No need for formal training programs","","","","","","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","0","30","0","2","No obstacle","Minor obstacle","Practices of competitors in the informal sector","1500000000","2500000000","Don't know (spontaneous)","10000000","","4200000000","0","Don't know (spontaneous)","2000000000","10000000000","enterprise manager","20","Female","","","","","","","5","12","2015","16","13","Truthful","Are estimates computed with some precision","Several visits","1","30","","South East","Small (5-19)","Garments","Fresh","24.469116210938","29.430561065674","51.716960906982","84","",""
"598842","56","40","","Manufacturing","99","Vietnamese","South East","South East","Vietnamese dong","No","Yes","City with population over 1 million","18","18","Yes, screener and sample frame info match","Small","Medium","No","1","","","","","","318","318","22","10","2015","17","2","","","2014","2012","Sole proprietorship","","100","0","100","0","0","Yes","100","2010","14","Yes","2010","20","No","No","","No","","","No","","","","","","No","","No","","","No","","","Yes","No","No obstacle","No obstacle","sew t-shirt","1810","70","14500000000","fourteen billion five hundred million","Don't know (spontaneous)","","0","0","100","1","No","1","0","2010","Does not apply","","60","40","Yes","1","30","","Minor obstacle","Minor obstacle","International ","","No","No","Minor obstacle","No","","","","","","","","No","No","No","No","No","","","","No","","","","Yes","No","","No","No","90","48","0","100","0","0","100","0","No","","","","","","No obstacle","No","","","No","","","No obstacle","100","100","100","0","0","0","0","No","","","","","","","","","","","","","","","No","No","No","","","","","","","","","","","","","Don't know (spontaneous)","No","No need for a loan - establishment had sufficient capital","","No","No obstacle","Don't know (spontaneous)","Don't know (spontaneous)","No","","","No","","","Refusal (spontaneous)","No","","","No","","","No obstacle","Minor obstacle","No obstacle","No obstacle","Don't know (spontaneous)","No obstacle","60","65","50","10","50","0","10","0","20","0","4","0","","20","4","","","","","","0","","","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","No","No need for formal training programs","","","","","","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0","50","0","3","Minor obstacle","Major obstacle","Customs and trade regulations","840000000","10000000000","Don't know (spontaneous)","34000000","","11000000000","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","vice director","11","Female","accountant","10","Female","","","","22","10","2015","18","17","Truthful","Are taken directly from establishment records","One visit in face-to-face interview with one person","","","","South East","Small (5-19)","Garments","Fresh","24.469116210938","29.430561065674","51.716960906982","84","",""
"598843","58","41","","Manufacturing","99","Vietnamese","South East","South East","Vietnamese dong","No","Yes","City with population over 1 million","18","18","Yes, screener and sample frame info match","Small","Medium","No","1","","","","","","309","804","21","3","2015","15","27","","","2014","2012","Limited partnership","","60","100","0","0","0","Yes","40","2010","10","Yes","2010","3","No","No","","No","","","No","","","","","","No","","No","","","No","","","Yes","No","Minor obstacle","Minor obstacle","manufacture of t-shirt","1810","70","6000000000","six billion","3000000000","three billion","20","80","0","","","","","2010","1","2","20","80","No","","15","","Moderate obstacle","No obstacle","International ","","No","Yes","Moderate obstacle","No","","","","","","","","No","No","Yes","Yes","No","Yes","No","Entirely by this establishment","No","","","","No","No","","No","No","70","48","100","0","0","100","0","0","Yes","45","No","","","","Moderate obstacle","No","","","No","","","No obstacle","0","100","30","40","0","0","30","Yes","200000000","0","0","70","10","0","20","0","","","","","","","No","No","Yes","Private commercial banks","2015","450000000","Yes","Yes","No","No","Yes","No","600000000","1","","Yes","No","Collateral requirements were too high","","No","Moderate obstacle","Tend to agree","20","No","","","No","","Refusal (spontaneous)","","No","","","No","","","No obstacle","Minor obstacle","Minor obstacle","Major obstacle","Moderate obstacle","No obstacle","20","10","15","5","8","7","3","2","4","6","2","1","","10","2","","","","","","20","15","3","12","6","80","No","No need for formal training programs","","","","","","No","No","Yes","1","1","2","Yes","Yes","No","Yes","Yes","No","","Don't know (spontaneous)","","","","","","","1","Don't know (spontaneous)","","Yes","No","No","Yes","No","","10","3","2","No","No","Yes","No","No","","1","Don't know (spontaneous)","","Yes","No","No","Yes","No","","Difficult","Easy","Very difficult","Easy","Difficult","Difficult","Easy","7","No","5","Don't know (spontaneous)","0","15","0","Major obstacle","Moderate obstacle","Access to finance ","5000000000","100000000","100000000","100000000","","5300000000","400000000","1000000000","600000000","1000000000","vice director","5","Female","","","","","","","31","3","2015","4","27","Truthful","Are in some case taken from books in some case estimates","One visit in face-to-face interview with one person","","","The paper follow-up administered successfully","South East","Small (5-19)","Garments","Fresh","24.469116210938","29.430561065674","51.716960906982","84","",""
"598844","63","39","","Manufacturing","99","Vietnamese","South East","South East","Vietnamese dong","No","Yes","City with population over 1 million","18","18","Yes, screener and sample frame info match","Small","Large","No","1","","","","","","317","401","26","9","2015","10","36","","","2014","2012","Limited partnership","","70","100","0","0","0","Yes","30","2002","30","Yes","2002","13","No","No","","No","","","No","","","","","","No","","No","","","Does not apply","","","Yes","No","No obstacle","No obstacle","manufacture of  t-shirt from the cotton combining with pe plastic fibers producing by enterprises","1810","60","22000000000","twenty two billion","27000000000","twenty seven billion","20","80","0","","","","","2002","0","0","100","0","","","20","","No obstacle","No obstacle","International ","","No","No","No obstacle","Yes","No","improve quality","40","Yes","Does not apply","Does not apply","Entirely by this establishment","No","No","Yes","No","No","Yes","Yes","Entirely by this establishment","No","","","","No","No","","No","No","70","48","100","0","0","100","0","0","No","","","","","","No obstacle","Yes","1","","No","","","No obstacle","30","50","100","0","0","0","0","No","","","","","","","","","","","","","","","Yes","No","No","","","","","","","","","","","","","No","No","No need for a loan - establishment had sufficient capital","","No","No obstacle","Tend to disagree","0","Yes","1","No","No","","Refusal (spontaneous)","","No","","","No","","","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","200","200","180","20","180","0","20","0","54","0","6","0","","54","6","","","","","","0","","","10","10","85","No","No need for formal training programs","","","","","","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0","180","0","10","No obstacle","No obstacle","Transport","14400000000","5000000000","100000000","200000000","","20000000000","15000000000","25000000000","Don't know (spontaneous)","Don't know (spontaneous)","deputy director","13","Female","","","","","","","26","9","2015","11","36","Somewhat truthful","Are in some case taken from books in some case estimates","One visit in face-to-face interview with one person","","","","South East","Small (5-19)","Garments","Fresh","24.469116210938","29.430561065674","51.716960906982","84","",""
