a2,c4,c6,c7,c8,c9,c10,c11,c13,c152,c162,c172,c30a,d30a,d30b,d2
Southeast,,Yes,3,40,3,No,,,No,,,1,1,1,194954000000
Mekong River Delta,,Yes,1,1,,No,,,No,,,0,0,0,539750000
"Northern Central region, the Central Coast, Central Highlands",1,Yes,2,120,,Yes,10,3,Yes,5,3,3,2,2,25000000000
"Northern Central region, the Central Coast, Central Highlands",,Yes,0,,,Yes,1,,No,,,0,1,1,112000000000
Mekong River Delta,,No,,,,Yes,2,,No,,,0,0,0,16897000000
Mekong River Delta,,No,,,,Yes,5,,No,,,0,0,0,1144286000000
"Northern Central region, the Central Coast, Central Highlands",,Yes,0,,5,No,,,No,,,1,1,0,90000000000
Southeast,,Yes,1,2,,Yes,1,,No,,,0,0,0,29963327000
"Northern Central region, the Central Coast, Central Highlands",,Yes,0,,,No,,,No,,,0,2,1,40000000000
Red River Delta,,No,,,,No,,,No,,,1,3,0,6000000000
Southeast,,No,,,,No,,,No,,,1,1,1,90030989000
Southeast,,No,,,,No,,,No,,,3,1,1,169067079000
"Northern Central region, the Central Coast, Central Highlands",,Yes,2,,,No,,,No,,,1,0,0,
Mekong River Delta,,Yes,1,240,,No,,,No,,,0,0,0,417857000
Mekong River Delta,,Yes,3,480,,No,,,No,,,1,1,0,5993000000
Mekong River Delta,,No,,,,No,,,No,,,1,1,0,904605000000
Mekong River Delta,,Yes,1,300,,No,,,No,,,4,1,1,714012486000
Mekong River Delta,,No,,,,Yes,5,,No,,,0,1,0,416580000000
Mekong River Delta,,Yes,3,259,,No,,,No,,,1,1,2,423299588000
Mekong River Delta,,Yes,1,240,,No,,,No,,,3,1,1,140592000000
Red River Delta,,Yes,,,5,No,,,No,,,0,0,,22516650000
Southeast,,No,,,,No,,,No,,,0,3,3,48800790000
Southeast,,Yes,1,120,,No,,,No,,,0,0,0,33438000000
Southeast,,Yes,2,10,,Yes,1,,No,,,0,0,0,414220848000
Southeast,,No,,,,No,,,No,,,0,0,0,317152303000
Southeast,,Yes,2,,,No,,,No,,,0,1,1,503704000000
Red River Delta,,No,,,,Yes,100,,No,,,0,0,0,46000000000
Red River Delta,,Yes,3,370,5,Yes,10,,No,,,3,1,,526054000000
Mekong River Delta,,Yes,6,105,,No,,,Yes,5,1,1,1,1,3350314000000
Southeast,,Yes,2,5,,Yes,2,,No,,,0,1,0,23681611000
"Northern Central region, the Central Coast, Central Highlands",,Yes,1,30,1,Yes,10,,No,,,1,1,1,5000000000
Southeast,,Yes,1,1,1,Yes,1,,No,,,3,1,1,108135790000
Mekong River Delta,,Yes,2,240,,Yes,60,,No,,,0,0,0,2678788000000
Red River Delta,,Yes,2,150,,No,,,No,,,1,0,0,14296517000
Southeast,,Yes,1,630,,No,,,No,,,1,2,0,6711948000
Mekong River Delta,,No,,,,No,,,No,,,3,2,0,2353000000
Southeast,,No,,,,No,,,No,,,0,0,0,61439435000
Mekong River Delta,,Yes,3,105,,No,,,No,,,0,0,0,2300000000
Southeast,,No,,,,No,,,No,,,3,2,2,17298434000000
Red River Delta,15,Yes,2,30,,Yes,20,,No,,,4,0,0,
Southeast,,Yes,,,10,Yes,5,,No,,,3,1,1,126560997000
Mekong River Delta,30,Yes,1,180,,No,,10,No,,,1,0,0,17000000000
Southeast,,No,,,,No,,,No,,,0,0,0,79674281000
Mekong River Delta,,Yes,3,480,,No,,,No,,,3,1,0,1671000000
Red River Delta,,No,,,,Yes,5,,No,,,3,4,4,5000000000
Southeast,,No,,,,No,,,No,,,3,3,0,28493587000
Southeast,,Yes,1,300,,No,,,No,,,1,0,0,50423703000
Red River Delta,2,Yes,0,,,No,,,No,,,0,0,0,5000000000
Red River Delta,,Yes,,,,No,,,No,,,0,2,0,40000000000
Red River Delta,,No,,,,No,,,No,,,3,3,4,320457567000
"Northern Central region, the Central Coast, Central Highlands",60,Yes,1,300,1,Yes,5,30,No,,,3,2,2,5000000000
Red River Delta,,Yes,1,20,,No,,,No,,,1,0,0,9802511000
Southeast,,No,,,,No,,,No,,,0,0,0,8418155000
Mekong River Delta,,Yes,2,1,,No,,,No,,,1,3,1,22841000000
Mekong River Delta,,No,,,,No,,,No,,,3,2,3,7447000000
Mekong River Delta,,Yes,2,120,,No,,,No,,,0,3,0,10308000000
Southeast,,No,,,,No,,,No,,,0,0,0,66078792000
